date,naive_choice_index,trained_choice_index,P0_learning_index,F1_naive_choice_index,F1_trained_choice_index,F1_learning_index,F1_PLI,F2_naive_choice_index,F2_trained_choice_index,F2_learning_index,F2_PLI
28-Apr,-0.160714286,-0.23943662,0.078722334,-0.216080402,0.226993865,-0.443074267,-0.521796601,-0.012658228,-0.056603774,0.043945546,-0.034776788
29-Apr,0.953488372,-0.232323232,1.185811604,-0.056179775,-0.333333333,0.277153558,-0.908658046,1,-0.438848921,1.438848921,0.253037316
1-May,0.958333333,0.134146342,0.824186992,-0.024793388,-0.182795699,0.158002311,-0.666184681,0,0.333333333,-0.333333333,-1.157520325
2-May,0.608695652,-0.428571429,1.037267081,0.078651685,0.344262295,-0.26561061,-1.30287769,-0.02994012,0.057627119,-0.087567238,-1.124834319
4-May,0.073684211,-0.032258065,0.105942275,-0.013333333,-0.11790393,0.104570597,-0.001371678,0.333333333,-0.180555556,0.513888889,0.407946614
6-May,0.909090909,-0.730769231,1.63986014,-0.159763314,-0.331058021,0.171294707,-1.468565433,-0.512195122,-0.5,-0.012195122,-1.652055262
7-May,0.095238095,-0.441696113,0.536934208,0.152542373,-0.030674847,0.18321722,-0.353716989,,,,
8-May,0.220779221,-0.73255814,0.95333736,-0.094076655,-0.267857143,0.173780488,-0.779556873,,,,
9-May,-0.103448276,-0.346613546,0.24316527,0.253731343,0.336448598,-0.082717255,-0.325882525,,,,
10-May,0.410852713,-0.740384615,1.151237329,0.185483871,0.123809524,0.061674347,-1.089562981,,,,
14-May,0.553571429,-0.20661157,0.760182999,-0.196172249,-0.153333333,-0.042838915,-0.803021914,,,,